collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerName,FlowerGenus,Flowerspecies,Flowerfamily,FlowerCommonName,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2023RitterJuly7,Ritter,2023,griseocollis,1,female,Sorbaria sorbifolia,Sorbaria,sorbifolia,,,,,,,,,,
2023RitterJuly7,Ritter,2023,griseocollis,1,female,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
2023RitterJuly7,Ritter,2023,griseocollis,1,male,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
2023RitterJuly7,Ritter,2023,auricomus,1,female,Sorbaria sorbifolia,Sorbaria,sorbifolia,,,,,,,,,,
2023RitterJuly7,Ritter,2023,vagans,1,female,Nepeta sp.,Nepeta,sp.,,,catmint,,,,,,,
2023RitterJuly7,Ritter,2023,vagans,1,female,Echinacea purpurea,Echinacea,purpurea,,,,,,,,,,
2023RitterJuly7,Ritter,2023,vagans,1,female,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
2023RitterJuly7,Ritter,2023,rufocinctus,2,female,Sorbaria sorbifolia,Sorbaria,sorbifolia,,,,,,,,,,
2023RitterJuly7,Ritter,2023,rufocinctus,1,female,Trifolium repens,Trifolium,repens,,,,,,,,,,
2023RitterJuly7,Ritter,2023,rufocinctus,1,female,Echinacea purpurea,Echinacea,purpurea,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,bimaculatus,6,female,Monarda fistulosa,Monarda,fistulosa,,,Mon fist,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,bimaculatus,6,female,Desmodium canadense,Desmodium,canadense,,,Desmodium,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,bimaculatus,2,female,Dalea candida,Dalea,candida,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,bimaculatus,2,male,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,2,female,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,9,female,Desmodium canadense,Desmodium,canadense,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,3,female,Dalea purpurea,Dalea,purpurea,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,2,female,Dalea candida,Dalea,candida,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,1,female,Vicia villosa,Vicia,villosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,4,male,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,griseocollis,1,male,Dalea purpurea,Dalea,purpurea,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,45,female,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,12,female,Desmodium canadense,Desmodium,canadense,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,4,female,Baptisia alba,Baptisia,alba,,,Baptisa white,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,3,female,Dalea purpurea,Dalea,purpurea,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,3,female,Dalea candida,Dalea,candida,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,1,female,Vicia villosa,Vicia,villosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,auricomus,1,female,Veronicastrum virginicum,Veronicastrum,virginicum,,,culver's root,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,vagans,1,male,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,vagans,1,male,Veronicastrum virginicum,Veronicastrum,virginicum,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,vagans,1,male,Dalea purpurea,Dalea,purpurea,,,,,,,,,,
2023SpringLakeJuly7,SpringLake,2023,rufocinctus,1,female,Pycnanthemum virginianum,Pycnanthemum,virginianum,,,,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,67,female,Pycnanthemum virginianum,Pycnanthemum,virginianum,,,Mt mint,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,13,female,Monarda fistulosa,Monarda,fistulosa,,,Mon fist,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,7,female,Veronicastrum virginicum,Veronicastrum,virginicum,,,Culver's root,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,3,female,Echinacea purpurea,Echinacea,purpurea,,,Ech pur,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,1,female,Eryngium yuccifolium,Eryngium,yuccifolium,,,rattlesnake master,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,1,female,Ratibida pinnata,Ratibida,pinnata,,,Rat pin,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,2,female,Verbena stricta,Verbena,stricta,,,Ver stri,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,1,male,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,1,male,Ratibida pinnata,Ratibida,pinnata,,,,,,,,,,
2023RitterAugust4,Ritter,2023,impatiens,1,male,Verbena stricta,Verbena,stricta,,,,,,,,,,
2023RitterAugust4,Ritter,2023,bimaculatus,4,female,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023RitterAugust4,Ritter,2023,bimaculatus,2,male,Monarda fistulosa,Monarda,fistulosa,,,,,,,,,,
2023RitterAugust4,Ritter,2023,griseocollis,8,male,Echinacea purpurea,Echinacea,purpurea,,,,,,,,,,
